Group_1	Group_2	DE_gene	p_val	avg_logFC	pct.1	pct.2	p_val_adj
AFF2	NTC	LYZ	4.2694937433531e-98	0.998097586380446	0.988	0.926	1.08504913993576e-93
AFF2	NTC	GLO1	1.01957684457529e-71	-0.654092543364634	0.998	1	2.59115259280364e-67
AFF2	NTC	CLEC2B	5.63270644992608e-68	-0.755688736035126	0.909	0.985	1.43149601718421e-63
AFF2	NTC	ACTB	8.58981388171886e-51	0.278888126641099	0.998	1	2.18301529990003e-46
AFF2	NTC	BMI1	3.29373878876524e-50	-0.481986537958062	0.723	0.95	8.37070775776799e-46
AFF2	NTC	FTL	6.27122282637051e-45	0.274109607800228	1	1	1.5937685690938e-40
AFF2	NTC	SRGN	6.22112347224241e-43	0.454041425658463	1	0.997	1.58103631923569e-38
AFF2	NTC	LINC02470	1.98930222212899e-38	-0.384059034879053	0.683	0.929	5.05561266731861e-34
AFF2	NTC	SH3BGRL3	9.17999241310663e-36	0.321298866041029	0.998	0.997	2.33300327186692e-31
AFF2	NTC	INPP4B	1.09937733580585e-34	-0.367817253298379	0.432	0.776	2.79395756121699e-30
AFF2	NTC	RNF220	1.18115628051993e-34	-0.40469000664289	0.962	0.987	3.00179057131335e-30
AFF2	NTC	B2M	4.90512204909546e-34	0.323125683543272	0.998	0.998	1.24658771755712e-29
AFF2	NTC	TMEM163	1.14049995586257e-33	-0.34527475518576	0.6	0.881	2.89846658782913e-29
AFF2	NTC	RNASE3	1.20907826494887e-33	0.48064583208655	0.909	0.883	3.07275150254106e-29
AFF2	NTC	RETN	2.94372854744864e-32	0.594153946343863	0.891	0.809	7.48119173048598e-28
AFF2	NTC	LGALS1	1.39486512648916e-30	0.404944598136599	0.992	0.998	3.54491023245954e-26
AFF2	NTC	RNASE2	7.11790675089306e-30	0.410989503261132	0.98	0.975	1.80894482167196e-25
AFF2	NTC	CD36	2.21501848667871e-29	-0.507827013098472	0.731	0.914	5.62924798204528e-25
AFF2	NTC	TLN2	1.97539461201468e-28	-0.286916034275431	0.451	0.794	5.02026786697411e-24
AFF2	NTC	CLEC2A	5.13060786414173e-28	-0.275186664530482	0.372	0.726	1.30389268259298e-23
AFF2	NTC	S100A4	2.24447949689724e-27	0.332390109117781	0.994	1	5.70412019341465e-23
AFF2	NTC	CLECL1	3.14575652335468e-25	-0.294403795538416	0.778	0.946	7.99462562845357e-21
AFF2	NTC	ACTR2	2.30881679684445e-24	0.255817828945287	0.99	0.997	5.86762700750049e-20
AFF2	NTC	GSTP1	6.37556871456983e-24	-0.266646709579263	1	1	1.62028703312078e-19
AFF2	NTC	CDA	6.53014427212357e-24	0.280520267837442	0.937	0.919	1.65957086531748e-19
AFF2	NTC	STXBP2	6.74106686327621e-23	0.410267654973303	0.921	0.926	1.71317473263302e-18
AFF2	NTC	MEIS1	3.58831434297834e-22	-0.312405501167808	0.804	0.952	9.11934207124516e-18
AFF2	NTC	VIM	4.43659880770166e-22	0.539063911163399	0.735	0.624	1.1275172209893e-17
AFF2	NTC	METTL9	9.37382559109803e-22	0.368040373109892	0.859	0.861	2.38226403572165e-17
AFF2	NTC	NPC1	3.26953397580197e-21	-0.288559198360833	0.495	0.774	8.30919364610312e-17
AFF2	NTC	FABP5	4.25938494878807e-21	-0.286852097544363	0.875	0.983	1.082480090885e-16
AFF2	NTC	NME1	2.63860022632583e-19	-0.254049623716157	0.885	0.974	6.70573861518445e-15
AFF2	NTC	C12orf75	3.1936662127768e-19	-0.274273708077443	0.723	0.919	8.11638331315097e-15
AFF2	NTC	S100P	4.15917343204305e-19	0.325958398867811	0.947	0.964	1.05701233601942e-14
AFF2	NTC	CAT	1.06764790408251e-18	0.291595198932586	0.887	0.883	2.71332038343529e-14
AFF2	NTC	NEGR1	1.23312433908961e-18	-0.346741885660684	0.507	0.771	3.13386219536233e-14
AFF2	NTC	H2AFZ	7.8728966433363e-18	0.288708882116397	0.99	0.995	2.00081795293749e-13
AFF2	NTC	SMC4	2.33100531747775e-17	-0.277427739884386	0.871	0.964	5.92401691383794e-13
AFF2	NTC	HSPA8	6.22264357596431e-17	-0.254262347928634	0.964	0.99	1.58142263839557e-12
AFF2	NTC	AC007100.1	3.49144652640656e-16	-0.282788336520573	0.493	0.726	8.87316220220964e-12
AFF2	NTC	CSTA	6.50720349795316e-16	0.328602748513063	0.606	0.45	1.65374069696982e-11
AFF2	NTC	EBNA1BP2	6.60835659917088e-16	-0.270402024076705	0.752	0.926	1.67944774611329e-11
AFF2	NTC	AL355922.1	3.77264944220033e-15	0.305153630276853	0.798	0.772	9.58781129240791e-11
AFF2	NTC	SLPI	2.72225865802331e-14	0.348238061719361	0.485	0.32	6.91834815350043e-10
AFF2	NTC	CXCR4	7.40314957864809e-14	0.252450436141186	0.949	0.941	1.88143643391763e-09
AFF2	NTC	SNX10	3.17577022346754e-12	0.264124276585646	0.636	0.554	8.0709024459204e-08
AFF2	NTC	ZEB2	3.45735506667586e-12	-0.270394058558969	0.893	0.949	8.78652216645004e-08
AFF2	NTC	HCST	4.01338092682512e-12	0.288770184624307	0.97	0.988	1.01996062874334e-07
AFF2	NTC	ANXA1	6.55541342851179e-12	0.293865378600913	0.507	0.37	1.66599276872199e-07
AFF2	NTC	ETS1	1.65505839718299e-11	0.261390039341869	0.717	0.719	4.20616541060086e-07
AFF2	NTC	EPDR1	9.0794942546906e-10	0.255033478861533	0.749	0.772	2.30746266988707e-05
AFF2	NTC	S100A9	7.92423090124115e-05	0.275241338215553	0.412	0.351	1
KMT2A	NTC	RNF220	8.55361451600829e-59	-0.582278533967406	0.864	0.987	2.17381559309835e-54
