Group_1	Group_2	DE_gene	p_val	avg_logFC	pct.1	pct.2	p_val_adj
CROPSeq_2	NTC	LYZ	2.64222369945415e-51	0.870776583814531	0.98	0.926	6.71494730979277e-47
CROPSeq_2	NTC	GLO1	2.16872157554275e-46	-0.650349081834939	1	1	5.51158901208434e-42
CROPSeq_2	NTC	CLEC2B	1.25985342720164e-39	-0.690732115516089	0.939	0.985	3.20179149989025e-35
CROPSeq_2	NTC	ACTB	1.69387614205457e-31	0.279182154663808	0.996	1	4.30481682741748e-27
CROPSeq_2	NTC	BMI1	3.25689333383227e-31	-0.477151072183219	0.731	0.95	8.27706871860133e-27
CROPSeq_2	NTC	FTL	1.07834910310879e-23	0.250362436918592	1	1	2.74051641064069e-19
CROPSeq_2	NTC	SRGN	1.40089314900784e-21	0.375468649052043	1	0.997	3.56022984888853e-17
CROPSeq_2	NTC	SH3BGRL3	2.99648545585235e-21	0.29771302653312	0.996	0.997	7.61526813750316e-17
CROPSeq_2	NTC	RNF220	3.79618310363096e-20	-0.349721402714767	0.976	0.987	9.64761973956771e-16
CROPSeq_2	NTC	LINC02470	3.30340916690257e-19	-0.33157706393557	0.718	0.929	8.3952840567662e-15
CROPSeq_2	NTC	RNASE3	9.99402951823177e-19	0.449679025509641	0.886	0.883	2.53988266176342e-14
CROPSeq_2	NTC	RETN	2.00381652816914e-18	0.551083595838312	0.906	0.809	5.09249932468905e-14
CROPSeq_2	NTC	CLECL1	4.69631285942388e-18	-0.30890528385762	0.788	0.946	1.19352095009398e-13
CROPSeq_2	NTC	TMEM163	4.95009415178865e-18	-0.30683975281254	0.641	0.881	1.25801692773557e-13
CROPSeq_2	NTC	INPP4B	1.13174372163944e-17	-0.314119983751228	0.469	0.776	2.87621349417447e-13
CROPSeq_2	NTC	LGALS1	1.41087849133159e-17	0.382552614862201	0.988	0.998	3.58560659787009e-13
CROPSeq_2	NTC	B2M	5.59522994522475e-17	0.285355427166886	1	0.998	1.42197173827942e-12
CROPSeq_2	NTC	CLEC2A	1.61672939326456e-16	-0.25693512412591	0.384	0.726	4.10875608004256e-12
CROPSeq_2	NTC	CD36	1.37946922793838e-15	-0.448582224683365	0.747	0.914	3.50578309588261e-11
CROPSeq_2	NTC	METTL9	1.51995193839403e-15	0.357995446215815	0.882	0.861	3.86280585623459e-11
CROPSeq_2	NTC	S100A4	2.77395358997844e-15	0.310625501908686	0.996	1	7.04972565357121e-11
CROPSeq_2	NTC	CDA	2.08373597265572e-14	0.2637993470248	0.935	0.919	5.29560660090724e-10
CROPSeq_2	NTC	NPC1	2.20197010222976e-14	-0.298918535132093	0.506	0.774	5.59608681780672e-10
CROPSeq_2	NTC	RNASE2	6.72482294786133e-13	0.387986652395289	0.988	0.975	1.70904650396948e-08
